age,income,gender,education_level,marital_status,purchases_last_month,website_visits,account_age_months,satisfaction_score,churn
56.0,,Male,PhD,Divorced,3.0,8.0,22,1.51,0
69.0,92580.19206698536,Male,High School,Married,,11.0,235,,0
46.0,63227.15849285016,Male,Bachelor,Married,4.0,8.0,86,4.59,0
32.0,52104.048741518054,Male,Bachelor,Divorced,,8.0,170,2.36,0
60.0,49529.112374262855,Male,Master,,9.0,12.0,214,4.93,0
25.0,,Female,PhD,Married,,9.0,134,4.84,1
38.0,,Male,Bachelor,Divorced,6.0,5.0,110,,0
56.0,60577.5144629802,Female,,,3.0,14.0,180,4.26,0
36.0,58959.606230839716,,,Divorced,6.0,16.0,165,2.64,0
40.0,92830.53897288302,,,Divorced,4.0,12.0,212,2.61,0
28.0,,Male,PhD,Divorced,,9.0,6,4.82,0
28.0,21510.236779023006,Female,PhD,Single,4.0,13.0,73,2.46,0
41.0,113470.21940792957,Female,High School,Married,8.0,12.0,157,1.39,0
53.0,79136.67462312194,Female,Master,Married,2.0,10.0,101,1.61,0
57.0,101646.9748819117,,Master,Divorced,4.0,10.0,197,3.84,0
41.0,36853.60026031031,Male,Bachelor,Divorced,4.0,4.0,179,2.53,0
,55563.46437487416,Female,,,2.0,13.0,77,1.8,0
39.0,73488.02482988639,Female,Master,,4.0,10.0,27,4.26,0
19.0,70727.82744568918,Female,Master,Divorced,3.0,6.0,215,2.95,0
41.0,66138.75414719104,Female,,Divorced,10.0,6.0,165,3.27,1
61.0,16007.785629988917,Male,,Married,3.0,11.0,174,1.62,0
47.0,25751.210848713723,Female,Master,Divorced,,4.0,98,1.77,0
55.0,90350.40218127743,Female,PhD,Married,,11.0,25,1.5,0
19.0,,Female,PhD,Single,,8.0,165,3.06,0
,57866.974171272086,Female,Bachelor,Single,8.0,7.0,151,4.1,0
50.0,87808.54948812764,Female,Bachelor,Married,5.0,7.0,220,3.93,0
,39535.444677134044,Female,Bachelor,Married,2.0,,154,,0
39.0,,Male,Bachelor,Married,2.0,15.0,76,4.41,0
61.0,37954.39356273701,Female,Master,Married,3.0,11.0,120,1.42,0
42.0,43001.60908622708,Male,High School,Divorced,5.0,6.0,180,1.46,0
66.0,74453.92019045238,Male,Bachelor,,2.0,8.0,231,4.4,0
44.0,42752.952538731115,Female,,Married,3.0,10.0,3,1.98,1
59.0,104794.86079855729,Male,Master,,,11.0,73,3.83,0
45.0,,Female,Bachelor,,5.0,4.0,111,1.04,1
33.0,408452.7046495088,Male,Bachelor,Divorced,40.0,15.0,79,1.37,0
32.0,69798.81165600146,Female,High School,Divorced,2.0,5.0,72,3.44,0
,,Male,PhD,Single,6.0,8.0,156,1.73,0
68.0,,Male,,,3.0,13.0,218,1.11,0
61.0,,Female,Master,Married,3.0,,208,2.87,0
69.0,62818.777711828734,Male,High School,Divorced,,13.0,34,2.32,0
20.0,84185.32221937478,Male,Master,Divorced,4.0,17.0,84,,1
54.0,,Male,,Married,3.0,,65,4.28,0
68.0,,Male,High School,Divorced,1.0,9.0,216,3.46,0
24.0,62904.7743356333,Male,Bachelor,Single,,11.0,29,2.17,0
,47615.27070041117,Female,Bachelor,Divorced,4.0,6.0,4,2.85,0
26.0,66262.37659494528,Male,Bachelor,Single,3.0,9.0,196,3.81,0
56.0,90792.1369600303,,PhD,Single,7.0,12.0,119,1.28,0
35.0,46076.95282073758,Female,PhD,Single,,,190,,0
,79237.08712409876,Female,Master,Married,5.0,,166,4.29,0
42.0,37451.538877069834,Female,Bachelor,Divorced,3.0,9.0,195,2.62,0
31.0,,Male,PhD,Single,7.0,12.0,232,3.5,0
67.0,75692.00636873418,Male,Bachelor,Single,3.0,18.0,130,1.39,0
26.0,94502.34664517143,Male,PhD,Divorced,,13.0,221,4.11,0
43.0,,Male,PhD,Married,,,113,1.4,0
19.0,,Female,,Married,5.0,11.0,92,4.45,0
37.0,75858.65880971837,Female,Bachelor,Single,2.0,12.0,76,,1
45.0,,Male,,Married,6.0,16.0,125,,0
64.0,27643.32188883356,Male,,Divorced,2.0,12.0,44,2.46,0
,68947.98692933585,Male,Bachelor,Married,,15.0,207,3.5,0
61.0,,Male,PhD,Divorced,,9.0,114,4.39,0
25.0,37966.76169241195,Female,Bachelor,Single,4.0,11.0,105,1.04,0
64.0,,Female,High School,Divorced,3.0,13.0,95,2.06,0
,54417.83050200612,Male,Bachelor,Single,,7.0,117,4.63,0
31.0,402770.440660569,Female,High School,Divorced,4.0,60.0,101,2.55,0
34.0,44221.18462481859,Male,Master,,6.0,7.0,32,3.83,0
53.0,50583.42046972347,Male,Bachelor,Married,6.0,,214,1.56,0
67.0,83005.92052602787,Female,Bachelor,Divorced,,14.0,131,3.71,1
57.0,,Male,Bachelor,Single,8.0,15.0,17,1.29,0
21.0,30453.439181877206,Female,High School,Divorced,3.0,,221,3.87,0
19.0,65155.21765720222,Male,Bachelor,Single,5.0,9.0,119,2.3,0
23.0,89624.77097177607,Female,,Single,4.0,11.0,140,2.86,0
59.0,50428.45110757066,,,Divorced,5.0,14.0,64,1.67,0
21.0,71961.15392905817,Female,Master,Married,2.0,8.0,191,3.51,0
46.0,43012.2616968819,,High School,Divorced,2.0,11.0,78,2.35,1
35.0,57264.33450061142,Male,PhD,Divorced,4.0,7.0,200,,0
43.0,81796.71072900867,Female,High School,Married,8.0,5.0,41,3.61,0
61.0,64384.63335509947,Male,PhD,,,11.0,2,1.72,0
51.0,428926.9862715637,Female,,Divorced,30.0,11.0,181,4.41,0
27.0,,Female,PhD,Married,3.0,11.0,34,3.96,0
53.0,104374.79354401684,Male,High School,Married,3.0,6.0,125,3.31,0
31.0,,Male,,Single,4.0,8.0,88,1.51,0
48.0,,Male,Bachelor,Married,3.0,3.0,112,,0
65.0,38309.324134158975,Male,Master,Single,4.0,,212,1.07,0
32.0,39675.01651083501,Female,High School,Divorced,2.0,11.0,235,4.22,0
25.0,39856.326123879204,Male,High School,,4.0,16.0,202,2.22,0
31.0,63354.5164410244,Male,High School,Divorced,4.0,4.0,40,1.47,0
40.0,64526.01869643734,Male,Master,Married,2.0,5.0,199,1.66,0
57.0,,Female,Bachelor,Married,7.0,7.0,193,4.85,0
38.0,37538.788797108966,Male,,Divorced,3.0,,55,4.1,0
33.0,53515.50362003419,Female,Master,Married,3.0,9.0,126,,0
62.0,40714.107204872635,Male,PhD,Divorced,5.0,11.0,74,4.85,0
35.0,,Female,Bachelor,Divorced,3.0,11.0,179,,0
64.0,42594.64899638053,Male,Master,Single,5.0,10.0,5,3.93,0
41.0,55725.75696008237,,,,2.0,10.0,56,3.63,0
43.0,71206.12882646211,Female,,Single,,12.0,118,4.29,0
42.0,47687.4265100487,Male,High School,Divorced,5.0,7.0,232,2.53,0
62.0,73877.56889961308,Male,High School,Married,7.0,10.0,149,2.61,0
58.0,91921.59471066298,Male,,Divorced,2.0,11.0,58,3.5,1
46.0,63794.234574510505,Female,High School,Married,5.0,9.0,201,2.59,0
32.0,78032.21829136815,,PhD,Single,6.0,18.0,93,1.17,0
62.0,18531.582221272343,Female,Master,Married,5.0,7.0,31,3.92,0
18.0,,,Master,,7.0,10.0,237,3.56,1
42.0,,Female,Master,Married,,12.0,174,2.69,0
24.0,38940.698431993864,Male,High School,,4.0,9.0,155,2.21,0
26.0,64152.98670808184,Female,,Married,4.0,7.0,198,2.28,0
41.0,81198.81112118301,Female,High School,,2.0,7.0,107,3.96,0
18.0,22408.787439799562,Male,High School,Divorced,10.0,7.0,159,3.92,0
61.0,36218.54268392305,Female,Bachelor,Divorced,3.0,12.0,169,4.28,0
25.0,63696.265415283706,Female,Bachelor,,5.0,9.0,45,4.05,0
41.0,69208.39458880096,Male,Bachelor,Single,,8.0,164,4.03,0
28.0,74761.60749819301,Male,Bachelor,Married,,7.0,2,2.01,1
68.0,62217.78957775536,Female,High School,Single,5.0,8.0,62,1.41,0
34.0,69230.24810031618,,PhD,Single,4.0,14.0,149,4.05,0
25.0,78069.61417081361,Male,Master,Single,,9.0,162,1.39,0
52.0,51710.83796459348,Male,PhD,Married,4.0,6.0,86,4.93,0
52.0,47828.27827987158,Female,High School,Single,,10.0,13,4.5,0
,,Female,Bachelor,Married,3.0,14.0,19,3.13,1
,63989.75884554826,Male,Master,Single,4.0,,161,2.41,0
59.0,,Female,Master,Single,7.0,6.0,124,3.11,0
56.0,52124.85367053576,Male,,,6.0,10.0,102,3.94,0
