Size_m2,Bedrooms,Bathrooms,Distance_km,Age_years,HasGarage,NearbySchools,Floor,Price_USD
168.58,3,3,5.44,116.5,0,2,13,233428.52
381.76,7,4,27.27,94.4,0,2,1,450813.25
300.84,3,2,33.73,65.1,1,3,12,421298.37
251.5,6,4,9.29,114.8,1,1,9,320042.87
87.73,4,3,34.68,18.5,0,1,4,188230.93
87.72,3,2,1.53,57.4,0,2,2,143878.33
51.49,5,4,36.53,64.5,0,2,4,228519.41
350.49,3,3,4.91,59.0,0,2,2,422276.81
252.41,5,4,25.9,96.3,1,4,6,395170.36
291.99,7,4,10.15,80.4,1,4,6,463016.44
37.62,3,3,33.49,15.2,0,4,11,52073.13
388.87,5,4,20.59,41.6,0,0,7,474370.48
338.0,3,2,5.58,40.7,1,2,9,421963.99
108.57,7,4,22.93,67.9,1,2,11,278421.73
97.28,3,3,16.43,35.0,1,3,9,229653.95
97.86,2,1,26.53,14.1,1,2,4,162895.86
142.57,5,4,35.3,78.4,1,3,9,279693.85
224.16,7,4,16.49,102.1,0,4,8,333953.8
189.82,5,4,11.74,111.8,0,2,12,241301.01
137.75,5,4,0.78,116.7,0,1,1,224054.47
256.39,1,1,23.08,93.7,0,1,7,225846.51
81.61,7,4,16.21,16.8,1,1,7,233584.59
138.09,3,3,15.11,102.4,0,2,10,165765.82
165.55,5,4,7.48,48.0,0,4,4,265467.17
198.75,6,4,17.32,87.6,1,3,7,328448.25
320.52,1,1,39.38,63.8,0,3,11,274717.86
103.88,2,2,12.05,99.4,1,3,11,232888.72
220.27,5,4,24.07,51.1,0,5,11,290067.94
249.19,5,4,31.1,7.4,1,1,11,378659.47
47.19,1,1,30.02,66.8,1,1,10,63297.18
254.79,3,2,13.29,20.6,1,3,10,350340.82
93.09,6,4,24.51,115.9,1,4,5,229579.16
54.07,2,1,34.88,63.2,1,2,5,121660.66
381.09,5,4,0.81,66.4,1,1,5,494259.26
387.28,3,2,17.54,108.9,1,6,6,450765.28
329.11,7,4,9.13,75.0,1,1,7,421896.09
142.71,6,4,15.67,36.3,1,3,5,266461.68
66.14,7,4,16.76,35.5,0,2,9,176534.37
283.17,6,4,29.92,60.2,0,1,14,415623.32
192.86,2,1,3.93,104.0,0,2,12,238300.86
75.15,4,3,20.6,95.4,0,2,11,155412.3
213.22,6,4,22.65,115.5,1,2,9,364980.52
42.72,4,4,19.87,8.6,1,0,14,143182.31
366.45,7,4,29.33,32.2,1,2,7,544000.06
125.75,6,4,15.47,9.6,0,1,10,259779.59
275.13,2,2,37.81,90.1,0,2,3,276582.92
145.33,1,1,19.38,16.9,1,2,4,216016.06
222.43,2,1,22.93,12.0,1,0,4,292141.41
232.28,2,1,33.06,67.4,0,1,7,199122.46
98.4,1,1,11.15,49.4,1,1,2,166985.5
388.75,1,1,3.19,85.8,1,1,11,402198.13
316.8,3,3,28.37,58.4,0,1,5,364616.09
377.61,6,4,19.42,51.0,1,1,11,490945.36
361.09,7,4,35.88,51.1,0,3,11,441434.43
251.22,3,2,39.31,104.6,1,2,4,262186.28
371.09,1,1,16.08,47.4,0,2,10,350635.91
62.74,4,4,16.73,40.0,0,2,11,176323.95
